station_code,logger_serial,MonitoringLocationID,MonitoringLocationName,MonitoringLocationLatitude,MonitoringLocationLongitude,MonitoringLocationHorizontalCoordinateReferenceSystem,MonitoringLocationType,ResultAnalyticalMethodContext,ResultAnalyticalMethodID,ResultAnalyticalMethodName,ActivityMediaName,ActivityType,SampleCollectionEquipmentName,CharacteristicName,ResultUnit,ResultValueType
01FW023,21731729,01FW023,Kazchek Creek Above Middle River,54.889056,-125.167056,WGS84,River/Stream,HOBO,MX2203,,Surface Water,Field Msr/Obs-Continuous Time Series,Probe/Sensor,"Temperature, water",deg C,Actual
01FW024,21481624,01FW024,McMillan Creek Above Nechako River,53.929946,-122.765635,WGS84,River/Stream,HOBO,MX2201,,Surface Water,Field Msr/Obs-Continuous Time Series,Probe/Sensor,"Temperature, water",deg C,Actual
01FW024,21731710,01FW024,McMillan Creek Above Nechako River,53.929946,-122.765635,WGS84,River/Stream,HOBO,MX2203,,Surface Water,Field Msr/Obs-Continuous Time Series,Probe/Sensor,"Temperature, water",deg C,Actual
01FW025,21481604,01FW025,Nechako At Pulpmill Road,53.9282,-122.7477,WGS84,River/Stream,HOBO,MX2201,,Surface Water,Field Msr/Obs-Continuous Time Series,Probe/Sensor,"Temperature, water",deg C,Actual
01FW025,21731699,01FW025,Nechako At Pulpmill Road,53.9282,-122.7477,WGS84,River/Stream,HOBO,MX2203,,Surface Water,Field Msr/Obs-Continuous Time Series,Probe/Sensor,"Temperature, water",deg C,Actual
01FW026,,01FW026,BlackWater,53.287327,-123.142379,WGS84,River/Stream,HOBO,MX2203,,Surface Water,Field Msr/Obs-Continuous Time Series,Probe/Sensor,"Temperature, water",deg C,Actual
01FW027,,01FW027,Ormond Creek,54.095898,-124.747563,WGS84,River/Stream,HOBO,MX2203,,Surface Water,Field Msr/Obs-Continuous Time Series,Probe/Sensor,"Temperature, water",deg C,Actual
01FW028,,01FW028,Nithi River,53.978522,-124.985239,WGS84,River/Stream,HOBO,MX2203,,Surface Water,Field Msr/Obs-Continuous Time Series,Probe/Sensor,"Temperature, water",deg C,Actual
01MF001,,01MF001,Horsefly River Downstream,52.428949,-121.437397,WGS84,River/Stream,HOBO,MX2203,,Surface Water,Field Msr/Obs-Continuous Time Series,Probe/Sensor,"Temperature, water",deg C,Actual
01MF002,,01MF002,Horsefly River Upstream,52.402187,-121.432166,WGS84,River/Stream,HOBO,MX2203,,Surface Water,Field Msr/Obs-Continuous Time Series,Probe/Sensor,"Temperature, water",deg C,Actual
01MF003,,01MF003,McKinley Creek Upstream,52.2802,-121.0054,WGS84,River/Stream,HOBO,MX2203,,Surface Water,Field Msr/Obs-Continuous Time Series,Probe/Sensor,"Temperature, water",deg C,Actual
01MF004,,01MF004,McKinley Creek Downstream,52.2828,-121.012,WGS84,River/Stream,HOBO,MX2203,,Surface Water,Field Msr/Obs-Continuous Time Series,Probe/Sensor,"Temperature, water",deg C,Actual
01NE001,21731717,01NE001,Kasalka Creek Above Tahtsa Lake,53.646984,-127.141362,WGS84,River/Stream,HOBO,MX2203,,Surface Water,Field Msr/Obs-Continuous Time Series,Probe/Sensor,"Temperature, water",deg C,Actual
01NE002,21731701,01NE002,Whitesail Middle Creek Above Tahtsa Reach,53.695472,-126.985389,WGS84,River/Stream,HOBO,MX2203,,Surface Water,Field Msr/Obs-Continuous Time Series,Probe/Sensor,"Temperature, water",deg C,Actual
01NE003,21731721,01NE003,Whiting Creek,53.718668,-127.128564,WGS84,River/Stream,HOBO,MX2203,,Surface Water,Field Msr/Obs-Continuous Time Series,Probe/Sensor,"Temperature, water",deg C,Actual
01NE004,21731724,01NE004,Rhine Creek Above Sweeney Creek,53.699283,-127.273631,WGS84,River/Stream,HOBO,MX2203,,Surface Water,Field Msr/Obs-Continuous Time Series,Probe/Sensor,"Temperature, water",deg C,Actual
01NE004,21731922,01NE004,Rhine Creek Above Sweeney Creek,53.699283,-127.273631,WGS84,River/Stream,HOBO,MX2203,,Surface Water,Field Msr/Obs-Continuous Time Series,Probe/Sensor,"Temperature, water",deg C,Actual
01NE005,21731706,01NE005,Laventie Creek Above Tahtsa Lake,53.656725,-127.541994,WGS84,River/Stream,HOBO,MX2203,,Surface Water,Field Msr/Obs-Continuous Time Series,Probe/Sensor,"Temperature, water",deg C,Actual
01NE006,,01NE006,Chedakuz Creek Above Nechako Reservoir,53.3215,-124.743139,WGS84,River/Stream,HOBO,MX2201,,Surface Water,Field Msr/Obs-Continuous Time Series,Probe/Sensor,"Temperature, water",deg C,Actual
